Index,Time,GX,GY,GZ,AX,AY,AZ,MX,MY,MZ,H,R,P
0,1459120890,0,0,0,0,0,0,0,0,0,166.84,0,-0
1,1459120890,0,0,0,0,0,0,0,0,0,166.84,0,-0
2,1459120890,-0.246735,-2.42249,-4.17206,0,-0.127991,1.00061,-0.1351,0.33026,-0.1624,279.088,-7.28927,-0
3,1459120890,0,0,0,0,0,0,0,0,0,279.088,-7.28927,-0
4,1459120890,0,0,0,0,0,0,0,0,0,279.088,-7.28927,-0
5,1459120890,-0.650482,-0.530853,0.770111,-0.0916138,-0.157532,0.983093,-0.15176,0.29988,-0.15708,281.351,-8.33291,3.06217
6,1459120890,-0.919647,-1.21872,3.01315,-0.0593262,-0.125366,0.980347,-0.13664,0.29764,-0.0861,281.399,-7.92707,3.21806
7,1459120891,1.92154,-0.209351,2.7066,-0.104187,-0.153015,1.02032,-0.13202,0.31878,-0.16408,280.867,-8.11393,4.03021
8,1459120891,-0.463562,0.104675,2.33276,-0.119812,-0.0685425,1.01257,-0.1344,0.3206,-0.15708,280.6,-7.03966,4.72505
9,1459120891,-2.01874,-0.800018,2.13089,-0.0822144,-0.118652,0.971863,-0.16492,0.30436,-0.15022,281.411,-7.02278,4.74864
10,1459120891,1.08414,-1.2262,3.40195,-0.0884399,-0.13739,0.991028,-0.10878,0.36624,-0.15834,280.115,-7.19265,4.81708
11,1459120891,2.74399,2.258,6.10107,-0.146545,-0.168335,1.03967,-0.15512,0.31066,-0.1477,280.537,-7.56524,5.41357
12,1459120892,-0.710297,-1.15891,3.87299,-0.0907593,-0.0742188,1.00189,-0.12558,0.33404,-0.09408,280.171,-7.01747,5.37431
13,1459120892,0.119629,-0.785065,5.36087,-0.0760498,-0.128418,1.00549,-0.10192,0.3388,-0.13468,279.473,-7.0581,5.21114
14,1459120892,0.897217,-0.276642,5.51788,-0.0996094,-0.165771,0.995239,-0.1078,0.31836,-0.08526,279.11,-7.41063,5.28494
15,1459120892,0.740204,-0.396271,6.13098,-0.125549,-0.125732,1.00604,-0.10486,0.35042,-0.12012,278.593,-7.37018,5.54366
16,1459120892,-0.86731,0.194397,4.71039,-0.101807,-0.112244,0.99762,-0.09506,0.33628,-0.15218,278.106,-7.2425,5.58177
17,1459120893,1.69724,-2.16827,4.47861,-0.0722046,-0.125366,1.00372,-0.084,0.35686,-0.15036,277.467,-7.22641,5.39034
18,1459120893,0.396271,0.807495,6.80389,-0.120178,-0.180969,1.00439,-0.11466,0.36316,-0.12166,277.227,-7.60809,5.57259
